대출ID,신청일,대출금액,금리(%),기간(개월),신용등급,지역,연령대,대출목적,연체여부,연체일수,상환상태
LN204621,2024-06-08,1650000,,60,,,50대,,N,0,상환중
LN205733,2024-12-16,1680000,6.62,60,1등급,서울,30대,채무상환,N,0,정상
LN201386,2024-12-12,5640000,19.34,6,6등급,Seoul,20대,의료비,N,0,상환중
LN204514,2025-03-10,6110000,5.97,24,1등급,인천,30대,의료비,N,0,정상
LN203430,2024-07-26,1880000,6.52,48,1등급,강원,60대 이상,생활자금,N,0,상환중
LN201166,2025-06-24,2100000,11.27,12,4등급,경북,20대,사업자금,N,0,정상
LN204969,2024-05-27,1230000,8.63,24,2등급,제주,30대,생활자금,N,0,상환중
LN205581,2024-06-02,1230000,8.64,48,2등급,울산,30대,주거자금,N,0,정상
LN201339,2024-04-04,850000,19.33,36,6등급,경기,30대,생활자금,N,0,상환중
LN204687,2025-04-21,5150000,6.91,12,2등급, 서울,20대,교육비,N,0,상환중
LN204020,2025-04-12,5040000,11.19,6,4등급,경기,60대 이상,사업자금,N,0,완제
LN204315,2025-04-04,3430000,10.09,24,3등급,울산,30대,교육비,N,0,정상상환
LN200052,2024-11-27,1860000,6.74,24,2등급,광주,30대,기타,N,0,상환중
LN200000,2024-10-09,2150000,,24,,,40대,,N,0,정상
LN202672,2024-05-06,5960000,12.23,24,4등급,광주,30대,교육비,N,0,정상상환
LN200541,2025-02-08,2490000,7.5,36,2등급,,30대,,N,0,상환중
LN204510,2024-07-28,2460000,19.89,48,6등급,강원,40대,교육비,Y,30,연체
LN204313,2025-06-12,2690000,9.13,6,3등급,전북,20대,생활자금,Y,27,연체
LN202171,2024-08-25,2030000,16.49,24,5등급,제주,40대,생활자금,N,0,완제
LN202084,2025-06-09,1590000,12.16,6,3등급,서울,20대,교육비,N,0,상환중
LN203512,2024-03-28,940000,14.6,36,5등급,세종,20대,기타,N,0,상환중
LN204856,2024-03-05,2970000,16.49,24,5등급,부산,40대,주거자금,N,0,완제
LN201999,2024-05-02,3080000,19.14,12,6등급,서울,30대,기타,N,0,상환중
