기준일,지점,상품군,상품명,보유잔액,계좌수,목표금액,달성률(%),수익률(%),담당자
2025-04-20,충북지점,카드,체크카드,54145000,42.0,69181533,78.3,2.1,안시우
2025-10-12,충북지점,투자,펀드,35374000,38.0,30131516,117.4,6.61,임다은
2025-11-08,서울지점,투자,P2P연계,6214000,37.0,4415320,140.7,-10.32,전하준
2025-12-11,대전지점,보험,방카슈랑스,36042000,35.0,53710876,67.1,1.42,정지민
2025-07-04,경기지점,카드,체크카드,9719000,32.0,6889077,141.1,2.55,신하준
2025-10-21,제주지점,여신,주택담보대출,18533000,37.0,18965423,97.7,1.81,홍유진
2025-03-05,부산지점,수신,정기예금,65313000,31.0,71319179,91.6,1.19,김지호
2025-11-17,대구지점,카드,신용카드,8227000,31.0,9566246,86.0,1.19,윤예준
2025-02-13,광주지점,여신,소액신용대출,61549000,35.0,72836969,84.5,3.57,신지우
2025-08-27,강남금융센터,여신,소액신용대출,3882000,35.0,5206475,74.6,0.83,오수아
2025-04-11,경북지점,수신,정기예금,54718000,29.0,54574412,100.3,0.03,임건우
2025-10-25,세종지점,카드,체크카드,31605000,29.0,22777919,138.8,2.1,강지호
2025-05-18,부산지점,투자,펀드,25898000,40.0,25433541,101.8,4.05,최가은
2025-11-23,전남지점,여신,주택담보대출,92957000,34.0,98809779,94.1,2.1,류시우
2025-09-23,서울지점,투자,P2P연계,18672000,42.0,19843603,94.1,2.09,한하준
2025-12-22,전북지점,수신,적금,40533000,32.0,52328935,77.5,0.84,
2025-04-18,부산지점,여신,주택담보대출,13960000,39.0,14303470,97.6,0.71,권서윤
2025-04-20,경남지점,여신,소액신용대출,25806000,,19786284,130.4,1.73,안태양
2025-08-07,본점영업부,여신,주택담보대출,22751000,45.0,21968226,103.6,2.01,윤건우
2025-06-17,경남지점,여신,전세자금대출,27068000,42.0,27463656,98.6,0.8,신지호
2025-02-11,강남금융센터,여신,전세자금대출,12315000,28.0,12952900,95.1,1.93,강수아
2025-11-04,전북지점,여신,전세자금대출,40059000,40.0,50553856,79.2,0.45,
2025-09-15,대전지점,카드,신용카드,53520000,40.0,67706518,79.0,2.81,
2025-01-01,제주지점,여신,주택담보대출,99134000,41.0,103915547,95.4,1.48,안서연
